Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Speed,Max Speed,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Total Reps,Total Sets,Climb Time,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp
Strength Training,2020-09-10 08:44:17,false,"Strength","0.00","395","01:04:00","105","134","0.8","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","213","22","1:04:00","0:00","80.6","0:00","No","01:04:00.22","1","0.0","19","19","19"
Running,2020-09-09 09:55:18,false,"Orange Running","2.37","315","00:20:03","154","169","3.0","153","204","8:27","7:29","39","39","1.24","0.0","0.0","0.0","0.0","0.0","--","--","20:03","0:00","78.8","0:00","No","04:03.59","3","0.0","20","20","20"
Strength Training,2020-09-09 08:35:19,false,"Strength","0.00","522","01:12:12","114","144","1.8","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","124","15","1:12:12","0:00","82.4","0:00","No","01:12:12.36","1","0.0","13","13","13"
Running,2020-09-08 15:52:46,false,"Orange Running","2.48","317","00:24:09","139","165","2.5","147","225","9:45","6:22","43","33","1.12","0.0","0.0","0.0","0.0","0.0","--","--","24:09","0:00","80.6","0:00","No","05:06.75","3","0.0","19","19","19"
Strength Training,2020-09-08 10:38:35,false,"Strength","0.00","253","00:36:06","109","128","0.9","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","127","18","36:06","0:00","84.2","0:00","No","36:06.13","1","0.0","19","19","19"
Running,2020-09-07 11:14:17,false,"Orange Running","1.26","150","00:09:39.0","150","163","2.2","158","167","7:40","6:55","26","20","1.33","0.0","0.0","0.0","0.0","0.0","--","--","9:39.0","0:00","86.0","0:00","No","02:00.31","2","0.0","24","24","24"
Strength Training,2020-09-07 10:05:31,false,"Strength","0.00","404","01:02:05","109","150","1.1","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","242","24","1:02:05","0:00","87.8","0:00","No","01:02:04.88","1","0.0","14","14","14"
Strength Training,2020-09-06 15:36:28,false,"Strength","0.00","34","00:03:04.0","124","138","0.3","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","5","1","3:04.0","0:00","96.8","0:00","No","03:03.96","1","0.0","19","19","19"
Running,2020-09-06 15:14:45,false,"Orange Running","1.49","234","00:13:21","168","181","3.0","144","167","8:59","7:06","30","30","1.23","0.0","0.0","0.0","0.0","0.0","--","--","13:21","0:00","95.0","0:00","No","05:29.36","2","0.0","22","22","22"
Strength Training,2020-09-06 14:27:51,false,"Strength","0.00","332","00:35:49","124","155","2.0","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","197","22","35:49","0:00","86.0","0:00","No","35:49.10","1","0.0","13","13","13"
Strength Training,2020-09-03 09:59:30,false,"Strength","0.00","342","00:44:41","114","140","1.4","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","144","20","44:41","0:00","84.2","0:00","No","44:41.28","1","0.0","18","18","18"
Running,2020-09-02 10:19:27,false,"Orange Running","1.44","183","00:16:25","128","161","2.1","130","169","11:25","7:46","26","26","1.04","0.0","0.0","0.0","0.0","0.0","--","--","16:25","0:00","84.2","0:00","No","02:16.86","3","0.0","21","21","21"
Strength Training,2020-09-02 09:07:47,false,"Strength","0.00","412","00:57:50","114","147","1.5","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","236","30","57:50","0:00","84.2","0:00","No","57:50.00","1","0.0","21","21","21"
Cardio,2020-09-01 09:53:02,false,"Cardio","0.00","499","00:39:40","140","171","2.8","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","39:40","0:00","82.4","0:00","No","12:38.19","2","0.0","17","17","17"
Strength Training,2020-09-01 08:44:21,false,"Strength","0.00","443","01:04:56","110","143","1.3","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","204","23","1:04:56","0:00","82.4","0:00","No","01:04:55.71","1","0.0","14","14","14"
Strength Training,2020-08-31 10:13:38,false,"Strength","0.00","52","00:06:09.5","111","122","0.2","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","18","1","6:09.5","0:00","84.2","0:00","No","06:09.49","1","0.0","19","19","19"
Strength Training,2020-08-31 08:42:09,false,"Strength","0.00","560","01:18:54","111","149","1.8","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","263","31","1:18:54","0:00","82.4","0:00","No","01:18:53.70","1","0.0","17","17","17"
Strength Training,2020-08-30 12:15:29,false,"Strength","0.00","554","01:10:12","120","159","2.0","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","319","30","1:10:12","0:00","87.8","0:00","No","01:10:12.21","1","0.0","18","18","18"
Strength Training,2020-08-29 17:25:51,false,"Strength","0.00","635","01:41:29","109","139","1.7","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","424","38","1:41:29","0:00","84.2","0:00","No","01:41:28.87","1","0.0","14","14","14"
Strength Training,2020-08-28 09:21:14,false,"Strength","0.00","350","00:54:01","108","132","1.0","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","192","23","54:01","0:00","86.0","0:00","No","54:00.50","1","0.0","15","15","15"
